21, the ville, artist's co-living space, latoya williams's room
22, the ville, artist's co-living space, latoya williams's bathroom
23, the ville, artist's co-living space, rajiv patel's room
24, the ville, artist's co-living space, rajiv patel's bathroom
25, the ville, artist's co-living space, abigail chen's room
26, the ville, artist's co-living space, abigail chen's bathroom
29, the ville, artist's co-living space, francisco lopez's room
30, the ville, artist's co-living space, francisco lopez's bathroom
31, the ville, artist's co-living space, hailey johnson's room
32, the ville, artist's co-living space, hailey johnson's bathroom
34, the ville, artist's co-living space, common room
33, the ville, artist's co-living space, kitchen

35, the ville, moonlight tavern, bathroom
36, the ville, moonlight tavern, sing
37, the ville, moonlight tavern, kitchen
38, the ville, moonlight tavern, front desk
39, the ville, moonlight tavern, bar customer seating

40, the ville, hobbs cafe, sofa
41, the ville, hobbs cafe, meeting area
42, the ville, hobbs cafe, cafe
43, the ville, hobbs cafe, front desk

44, the ville, supermarket, outdoor gear section
45, the ville, supermarket, home appliance area
46, the ville, supermarket, food area
47, the ville, supermarket, checkout counter

48, the ville, restaurant, dining area
49, the ville, restaurant, vip room1
50, the ville, restaurant, vip room2
52, the ville, restaurant, vip room3
53, the ville, restaurant, kitchen
54, the ville, restaurant, bathroom

55, the ville, gym, room
56, the ville, library, room

57, the ville, arthur burton's apartment, arthur burton's room
58, the ville, arthur burton's apartment, arthur burton's bathroom
59, the ville, kiki's apartment, kiki's room
60, the ville, kiki's apartment, kiki's bathroom
61, the ville, cichengege's apartment, cichengege's room
2, the ville, cichengege's apartment, cichengege's bathroom
62, the ville, frank's apartment, frank's room
3, the ville, frank's apartment, frank's bathroom
63, the ville, carlos gomez's apartment, carlos gomez's room
4, the ville, carlos gomez's apartment, carlos gomez's bathroom

104, the ville, tamara taylor and carmen ortiz's house, tamara taylor's room
103, the ville, tamara taylor and carmen ortiz's house, carmen ortiz's room
100, the ville, tamara taylor and carmen ortiz's house, common room
101, the ville, tamara taylor and carmen ortiz's house, kitchen
102, the ville, tamara taylor and carmen ortiz's house, bathroom
74, the ville, tamara taylor and carmen ortiz's house, garden

108, the ville, mk's house, mk's  bedroom
109, the ville, mk's house, empty bedroom
105, the ville, mk's house, common room
106, the ville, mk's house, kitchen
107, the ville, mk's house, bathroom
117, the ville, mk's house, garden

114, the ville, moreno family's house, tom moreno's bedroom
115, the ville, moreno family's house, jane moreno's bedroom
110, the ville, moreno family's house, common room
111, the ville, moreno family's house, kitchen
112, the ville, moreno family's house, bathroom
116, the ville, moreno family's house, garden

75, the ville, johnson park, lake
76, the ville, johnson park, basketball court
117, the ville, classroom, classroom

118, the ville, gardner family's house, empty room
118, the ville, gardner family's house, empty bathroom
129, the ville, gardner family's house, empty guest bedroom
131, the ville, gardner family's house, empty guest bathroom
124, the ville, gardner family's house, chris gardner's bathroom
132, the ville, gardner family's house, chris gardner's room
126, the ville, gardner family's house, linda's bathroom
127, the ville, gardner family's house, linda's room
123, the ville, gardner family's house, common room
122, the ville, gardner family's house, kitchen
121, the ville, gardner family's house, christopher gardner's bathroom
120, the ville, gardner family's house, christopher gardner's room
